country,region,category,product_name,fiscal_year,quarter,avg_trends_score,total_search_volume,avg_yoy_growth_pct,total_social_mentions,avg_amazon_bsr,total_demand_units,avg_seasonality_index,demand_classification
South Africa,Africa,Garden,Terracotta Planter Large,2024,Q1,56.8,501562,26.21,41577,302.0,24409,1.018,🚀 High Growth
Japan,Asia Pacific,Textiles,Block Print Cotton Napkin Set of 6,2024,Q2,55.3,609525,25.82,35571,334.0,21899,0.917,🚀 High Growth
South Africa,Africa,Kitchen,Ceramic Mug Set of 4,2024,Q4,82.8,739541,25.68,60175,207.0,36009,1.233,🚀 High Growth
Germany,Europe,Kitchen,Teak Wood Salad Bowl Large,2024,Q4,82.0,1556451,25.64,63745,188.0,39505,1.233,🚀 High Growth
Kuwait,Middle East,Kitchen,Bamboo Serving Tray Large,2024,Q4,82.7,922892,25.61,71345,168.0,44258,1.233,🚀 High Growth
South Africa,Africa,Decor,Brass Tealight Holder Set of 4,2024,Q2,55.5,489384,25.51,38328,307.0,23817,0.917,🚀 High Growth
Ireland,Europe,Kitchen,Ceramic Mug Set of 4,2024,Q3,64.9,578601,25.48,52699,237.0,31205,1.01,🚀 High Growth
France,Europe,Garden,Terracotta Planter Large,2024,Q2,54.4,839403,25.43,42502,300.0,24415,0.917,🚀 High Growth
Saudi Arabia,Middle East,Storage,Handwoven Jute Storage Basket Small,2024,Q4,83.0,1899192,25.36,71478,167.0,44423,1.233,🚀 High Growth
Canada,North America,Decor,Handmade Soy Candle Large,2024,Q2,54.7,935397,25.33,47041,253.0,28926,0.917,🚀 High Growth
Canada,North America,Storage,Handwoven Jute Storage Basket Large,2024,Q2,54.9,938633,25.33,48441,252.0,29024,0.917,🚀 High Growth
Ireland,Europe,Lighting,Rattan Pendant Lamp Shade,2024,Q3,64.2,572757,25.31,52257,239.0,30881,1.01,🚀 High Growth
Spain,Europe,Furniture,Cane Rattan Side Table,2024,Q1,57.8,700709,25.31,39780,298.0,24802,1.018,🚀 High Growth
New Zealand,Asia Pacific,Kitchen,Teak Wood Salad Bowl Large,2024,Q3,64.8,487950,25.31,53837,237.0,31185,1.01,🚀 High Growth
Australia,Asia Pacific,Kitchen,Bamboo Serving Tray Large,2024,Q3,65.0,760985,25.29,55587,226.0,32573,1.01,🚀 High Growth
Spain,Europe,Textiles,Block Print Cotton Napkin Set of 6,2024,Q4,82.4,1011262,25.25,59881,208.0,35804,1.233,🚀 High Growth
Malaysia,Asia Pacific,Kitchen,Teak Wood Salad Bowl Large,2024,Q2,54.9,847132,25.2,47474,259.0,28273,0.917,🚀 High Growth
Italy,Europe,Lighting,Rattan Pendant Lamp Shade,2024,Q1,58.3,771749,25.16,44244,282.0,26199,1.018,🚀 High Growth
Portugal,Europe,Decor,Handmade Paper Photo Frame Set 3,2024,Q2,55.7,430009,25.13,36081,320.0,22812,0.917,🚀 High Growth
Spain,Europe,Kitchen,Ceramic Mug Set of 4,2024,Q2,55.0,667267,25.02,38266,310.0,23614,0.917,🚀 High Growth
Malaysia,Asia Pacific,Decor,Warli Art Wall Plate Set of 3,2024,Q2,55.4,854758,25.02,45760,256.0,28530,0.917,🚀 High Growth
New Zealand,Asia Pacific,Kitchen,Copper Water Bottle 750ml,2024,Q1,57.6,429039,24.99,45203,269.0,27419,1.018,📈 Growing
Saudi Arabia,Middle East,Kitchen,Teak Wood Salad Bowl Large,2024,Q3,64.7,1479496,24.96,53025,213.0,34596,1.01,📈 Growing
Germany,Europe,Textiles,Block Print Cotton Table Runner,2024,Q3,64.2,1217990,24.94,50627,239.0,30908,1.01,📈 Growing
Italy,Europe,Kitchen,Copper Water Bottle 1L,2024,Q1,57.8,765131,24.94,42935,284.0,25971,1.018,📈 Growing
USA,North America,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q4,82.9,4254900,24.92,81447,153.0,48796,1.233,📈 Growing
France,Europe,Kitchen,Bamboo Cutting Board Set of 3,2024,Q1,58.1,897480,24.92,42809,283.0,26111,1.018,📈 Growing
Spain,Europe,Textiles,Kantha Quilt Throw Blanket,2024,Q3,64.7,793674,24.9,45177,263.0,28099,1.01,📈 Growing
UAE,Middle East,Garden,Terracotta Planter Set of 3,2024,Q4,82.8,2215394,24.9,75896,158.0,47033,1.233,📈 Growing
Malaysia,Asia Pacific,Kitchen,Teak Wood Cheese Board,2024,Q3,64.3,1004065,24.89,56560,220.0,33516,1.01,📈 Growing
Italy,Europe,Storage,Handwoven Jute Storage Basket Small,2024,Q3,64.3,859734,24.89,49885,253.0,29186,1.01,📈 Growing
Sweden,Europe,Rugs,Jute Braided Area Rug 4x6ft,2024,Q3,64.3,645437,24.88,48337,253.0,29216,1.01,📈 Growing
Singapore,Asia Pacific,Garden,Terracotta Planter Set of 3,2024,Q1,57.2,757670,24.87,49946,250.0,29507,1.018,📈 Growing
USA,North America,Textiles,Kantha Quilt Throw Blanket,2024,Q2,55.2,2802510,24.87,53461,227.0,32129,0.917,📈 Growing
Germany,Europe,Decor,Macrame Wall Hanging Small,2024,Q3,63.7,1206984,24.86,48376,241.0,30628,1.01,📈 Growing
South Africa,Africa,Bath,Bamboo Toothbrush Holder Set,2024,Q4,83.4,744395,24.85,63298,205.0,36245,1.233,📈 Growing
Germany,Europe,Textiles,Hand Embroidered Cushion Cover Set 2,2024,Q2,55.1,1033889,24.83,41882,279.0,26226,0.917,📈 Growing
Italy,Europe,Decor,Macrame Wall Hanging Large,2024,Q3,64.2,859505,24.83,51794,253.0,29180,1.01,📈 Growing
Malaysia,Asia Pacific,Textiles,Kantha Quilt Throw Blanket,2024,Q2,55.4,854742,24.83,46507,256.0,28528,0.917,📈 Growing
Sweden,Europe,Decor,Handmade Soy Candle Large,2024,Q4,82.1,825098,24.8,62357,199.0,37365,1.233,📈 Growing
Spain,Europe,Decor,Brass Tealight Holder Set of 4,2024,Q2,55.4,672490,24.78,40889,307.0,23798,0.917,📈 Growing
Canada,North America,Decor,Handmade Soy Candle Set of 3,2024,Q2,55.4,946364,24.77,50284,250.0,29261,0.917,📈 Growing
UK,Europe,Kitchen,Teak Wood Salad Bowl Large,2024,Q1,58.0,1344207,24.76,54377,235.0,31452,1.018,📈 Growing
USA,North America,Textiles,Block Print Cotton Table Runner,2024,Q3,63.9,3275683,24.76,61300,197.0,37553,1.01,📈 Growing
USA,North America,Bath,Bamboo Toothbrush Holder Set,2024,Q1,57.7,2927453,24.74,53334,220.0,33554,1.018,📈 Growing
Ireland,Europe,Decor,Madhubani Art Canvas Print Large,2024,Q1,57.9,510970,24.72,44185,269.0,27549,1.018,📈 Growing
Saudi Arabia,Middle East,Rugs,Jute Braided Area Rug 4x6ft,2024,Q3,63.8,1458870,24.71,53502,217.0,34117,1.01,📈 Growing
Netherlands,Europe,Kitchen,Ceramic Dinner Set 12pc,2024,Q3,65.2,763780,24.7,48364,261.0,28327,1.01,📈 Growing
Ireland,Europe,Garden,Terracotta Planter Set of 3,2024,Q4,83.6,747118,24.7,68196,185.0,40299,1.233,📈 Growing
Singapore,Asia Pacific,Decor,Handmade Soy Candle Set of 3,2024,Q1,58.1,769617,24.69,51114,247.0,29966,1.018,📈 Growing
Australia,Asia Pacific,Rugs,Cotton Dhurrie Rug 3x5ft,2024,Q2,55.7,645242,24.69,44845,265.0,27611,0.917,📈 Growing
France,Europe,Textiles,Hand Block Print Bedsheet Set,2024,Q4,82.7,1290514,24.68,63096,198.0,37566,1.233,📈 Growing
Kuwait,Middle East,Kitchen,Ceramic Mug Set of 4,2024,Q2,54.7,603591,24.67,49407,253.0,28924,0.917,📈 Growing
Spain,Europe,Decor,Jute Rope Mirror Frame Round,2024,Q4,82.4,1010823,24.64,56324,208.0,35793,1.233,📈 Growing
Sweden,Europe,Storage,Handwoven Jute Storage Basket Large,2024,Q1,57.3,568825,24.64,41246,287.0,25736,1.018,📈 Growing
Japan,Asia Pacific,Decor,Macrame Wall Hanging Large,2024,Q1,56.9,627472,24.63,38878,327.0,22548,1.018,📈 Growing
Spain,Europe,Storage,Jute Cotton Laundry Basket,2024,Q1,57.4,696074,24.62,41408,300.0,24633,1.018,📈 Growing
Portugal,Europe,Storage,Handwoven Jute Storage Basket Small,2024,Q4,82.4,643525,24.61,53786,218.0,34154,1.233,📈 Growing
USA,North America,Garden,Terracotta Planter Large,2024,Q2,55.4,2810527,24.61,51892,227.0,32214,0.917,📈 Growing
Portugal,Europe,Textiles,Kantha Quilt Throw Blanket,2024,Q1,57.7,445796,24.61,39976,313.0,23650,1.018,📈 Growing
Germany,Europe,Storage,Handwoven Jute Storage Basket Large,2024,Q1,56.8,1064805,24.6,46944,273.0,27013,1.018,📈 Growing
Germany,Europe,Textiles,Block Print Cotton Napkin Set of 6,2024,Q1,58.0,1087203,24.58,47924,267.0,27586,1.018,📈 Growing
Sweden,Europe,Furniture,Cane Rattan Side Table,2024,Q3,64.4,646161,24.58,43982,253.0,29251,1.01,📈 Growing
UK,Europe,Textiles,Block Print Cotton Table Runner,2024,Q2,55.2,1277515,24.57,48084,244.0,29886,0.917,📈 Growing
Germany,Europe,Kitchen,Copper Water Bottle 1L,2024,Q3,64.3,1219697,24.56,51811,238.0,30949,1.01,📈 Growing
Japan,Asia Pacific,Decor,Handmade Paper Photo Frame Set 3,2024,Q4,82.9,924885,24.56,51499,224.0,33249,1.233,📈 Growing
USA,North America,Kitchen,Bamboo Cutting Board Set of 3,2024,Q3,64.5,3308765,24.56,62799,195.0,37928,1.01,📈 Growing
UK,Europe,Decor,Madhubani Art Canvas Print Large,2024,Q1,57.9,1342080,24.53,53179,235.0,31399,1.018,📈 Growing
Ireland,Europe,Kitchen,Ceramic Dinner Set 12pc,2024,Q4,82.3,734420,24.53,64513,188.0,39614,1.233,📈 Growing
Sweden,Europe,Garden,Terracotta Planter Set of 3,2024,Q3,64.5,646807,24.53,46024,252.0,29282,1.01,📈 Growing
Portugal,Europe,Storage,Jute Cotton Laundry Basket,2024,Q2,55.1,425305,24.52,35124,324.0,22559,0.917,📈 Growing
Netherlands,Europe,Decor,Macrame Wall Hanging Small,2024,Q3,64.3,752999,24.51,45681,265.0,27923,1.01,📈 Growing
Sweden,Europe,Kitchen,Bamboo Serving Tray Large,2024,Q3,64.3,645561,24.5,47466,253.0,29228,1.01,📈 Growing
Spain,Europe,Storage,Handwoven Jute Storage Basket Large,2024,Q1,57.6,698207,24.5,39779,298.0,24714,1.018,📈 Growing
Japan,Asia Pacific,Kitchen,Copper Water Bottle 750ml,2024,Q3,64.9,723236,24.48,44007,284.0,25993,1.01,📈 Growing
Italy,Europe,Decor,Handmade Soy Candle Set of 3,2024,Q3,64.2,858618,24.47,49113,253.0,29148,1.01,📈 Growing
Kuwait,Middle East,Decor,Handmade Soy Candle Large,2024,Q3,63.4,707423,24.45,55846,218.0,33915,1.01,📈 Growing
UK,Europe,Kitchen,Teak Wood Salad Bowl Large,2024,Q3,64.8,1516895,24.45,57315,208.0,35493,1.01,📈 Growing
Saudi Arabia,Middle East,Decor,Macrame Plant Hanger Set of 3,2024,Q4,83.4,1906972,24.44,72482,167.0,44609,1.233,📈 Growing
Germany,Europe,Storage,Handwoven Jute Storage Basket Small,2024,Q3,64.2,1217103,24.43,51771,239.0,30886,1.01,📈 Growing
Japan,Asia Pacific,Decor,Recycled Glass Vase Set of 2,2024,Q3,64.2,715552,24.42,41606,287.0,25719,1.01,📈 Growing
France,Europe,Decor,Handmade Paper Photo Frame Set 3,2024,Q3,64.1,1000150,24.42,46549,254.0,29101,1.01,📈 Growing
New Zealand,Asia Pacific,Storage,Woven Seagrass Floor Basket,2024,Q4,82.7,622791,24.4,66315,186.0,39813,1.233,📈 Growing
Saudi Arabia,Middle East,Decor,Hand Painted Wooden Tray,2024,Q3,63.8,1459385,24.4,56037,216.0,34124,1.01,📈 Growing
Singapore,Asia Pacific,Lighting,Rattan Pendant Lamp Shade,2024,Q1,58.0,768116,24.39,48259,247.0,29912,1.018,📈 Growing
Australia,Asia Pacific,Storage,Handwoven Jute Storage Basket Small,2024,Q3,64.2,751322,24.38,52532,229.0,32152,1.01,📈 Growing
Australia,Asia Pacific,Storage,Handwoven Jute Storage Basket Small,2024,Q4,83.1,974285,24.37,66810,178.0,41712,1.233,📈 Growing
Australia,Asia Pacific,Rugs,Jute Braided Area Rug 4x6ft,2024,Q4,82.5,965512,24.36,64789,180.0,41335,1.233,📈 Growing
Portugal,Europe,Decor,Handmade Soy Candle Set of 3,2024,Q1,57.1,441057,24.36,38742,315.0,23396,1.018,📈 Growing
Sweden,Europe,Decor,Warli Art Wall Plate Set of 3,2024,Q2,55.0,546454,24.36,39884,296.0,24730,0.917,📈 Growing
Canada,North America,Decor,Macrame Wall Hanging Large,2024,Q4,82.6,1427706,24.36,73357,168.0,44170,1.233,📈 Growing
Portugal,Europe,Textiles,Handloom Cotton Throw Pillow Set 2,2024,Q4,84.0,655588,24.36,57677,214.0,34792,1.233,📈 Growing
Saudi Arabia,Middle East,Kitchen,Bamboo Cutting Board Set of 3,2024,Q1,58.2,1316680,24.35,51606,239.0,30789,1.018,📈 Growing
Canada,North America,Decor,Macrame Plant Hanger Set of 3,2024,Q2,54.7,934798,24.35,50059,253.0,28906,0.917,📈 Growing
South Africa,Africa,Decor,Hand Painted Wooden Tray,2024,Q3,63.9,569767,24.33,46681,267.0,27732,1.01,📈 Growing
Australia,Asia Pacific,Kitchen,Copper Water Bottle 750ml,2024,Q3,64.4,754471,24.33,51780,229.0,32291,1.01,📈 Growing
Japan,Asia Pacific,Decor,Macrame Wall Hanging Small,2024,Q1,56.9,627561,24.33,37212,327.0,22547,1.018,📈 Growing
Portugal,Europe,Lighting,Rattan Pendant Lamp Shade,2024,Q2,55.1,425301,24.32,36834,324.0,22558,0.917,📈 Growing
South Africa,Africa,Kitchen,Bamboo Serving Tray Large,2024,Q2,55.5,489727,24.32,40421,306.0,23837,0.917,📈 Growing
Netherlands,Europe,Decor,Macrame Plant Hanger Set of 3,2024,Q3,64.5,754709,24.32,46089,264.0,27986,1.01,📈 Growing
Malaysia,Asia Pacific,Rugs,Jute Braided Area Rug 2x3ft,2024,Q3,63.8,996046,24.32,54996,222.0,33252,1.01,📈 Growing
USA,North America,Decor,Jute Rope Mirror Frame Round,2024,Q3,64.7,3318180,24.32,63499,194.0,38046,1.01,📈 Growing
Netherlands,Europe,Furniture,Cane Rattan Side Table,2024,Q4,82.3,964642,24.31,56966,208.0,35786,1.233,📈 Growing
Netherlands,Europe,Textiles,Kantha Quilt Throw Blanket,2024,Q4,82.7,968707,24.3,59224,207.0,35934,1.233,📈 Growing
Netherlands,Europe,Decor,Hand Painted Wooden Tray,2024,Q4,82.8,970463,24.3,63406,207.0,36000,1.233,📈 Growing
