country,region,category,product_name,total_shipments,avg_fob_per_unit_usd,avg_freight_per_unit_usd,avg_insurance_per_unit_usd,avg_customs_per_unit_usd,avg_port_per_unit_usd,avg_lastmile_per_unit_usd,avg_demurrage_per_unit_usd,avg_total_lc_per_unit_usd,avg_exporter_margin_per_unit_usd,avg_exporter_margin_pct,avg_lc_fob_ratio,freight_pct_of_lc,customs_pct_of_lc,lastmile_pct_of_lc,total_demurrage_usd,route_efficiency
South Africa,Africa,Textiles,Block Print Cotton Table Runner,55,11.4458,0.154,0.1145,2.3429,1.0315,0.4,0.3488,15.8375,11.1774,97.65,1.3827,1.0,14.9,2.5,1388.91,High Cost Route
South Africa,Africa,Kitchen,Bamboo Serving Tray Large,39,15.2862,0.4125,0.1529,3.1703,1.2161,0.4,0.3343,20.9722,14.7208,96.29,1.374,2.0,15.2,1.9,765.98,High Cost Route
South Africa,Africa,Storage,Handwoven Jute Storage Basket Small,44,14.4034,0.33,0.144,2.9755,1.0535,0.4,0.3565,19.6629,13.9294,96.71,1.3651,1.7,15.2,2.0,1264.99,High Cost Route
South Africa,Africa,Bath,Bamboo Toothbrush Holder Set,56,11.4729,0.165,0.1147,2.3505,1.0589,0.4,0.0614,15.6234,11.1931,97.56,1.3623,1.1,15.1,2.6,492.6,High Cost Route
South Africa,Africa,Textiles,Block Print Cotton Napkin Set of 6,54,13.4063,0.1925,0.1341,2.7466,0.976,0.4,0.2685,18.1239,13.0797,97.56,1.352,1.1,15.2,2.2,1635.26,High Cost Route
South Africa,Africa,Decor,Handmade Soy Candle Large,44,12.4682,0.209,0.1247,2.5604,0.9012,0.4,0.1806,16.8441,12.1345,97.32,1.3511,1.2,15.2,2.4,983.82,High Cost Route
South Africa,Africa,Decor,Handmade Soy Candle Set of 3,66,15.423,0.3025,0.1542,3.1759,0.9927,0.4,0.3712,20.8197,14.9663,97.04,1.3504,1.5,15.3,1.9,1484.23,High Cost Route
South Africa,Africa,Garden,Terracotta Planter Set of 3,53,19.2189,0.715,0.1922,4.0252,1.0236,0.4,0.3448,25.9197,18.3117,95.27,1.3485,2.8,15.6,1.5,1884.96,High Cost Route
South Africa,Africa,Decor,Hand Painted Wooden Tray,58,17.4197,0.385,0.1742,3.5958,1.0451,0.4,0.4538,23.4736,16.8605,96.79,1.3483,1.6,15.4,1.7,2158.84,High Cost Route
South Africa,Africa,Storage,Jute Cotton Laundry Basket,47,17.28,0.4125,0.1728,3.5731,1.0988,0.4,0.2581,23.1953,16.6947,96.61,1.3421,1.8,15.4,1.7,914.02,High Cost Route
South Africa,Africa,Garden,Terracotta Planter Large,54,22.9556,0.99,0.2296,4.835,1.0285,0.4,0.3631,30.8017,21.736,94.68,1.3419,3.2,15.7,1.3,1292.35,High Cost Route
South Africa,Africa,Decor,Hand Painted Wooden Bowl,46,15.36,0.3025,0.1536,3.1632,1.0673,0.4,0.1616,20.6082,14.9039,97.03,1.3419,1.5,15.4,1.9,492.62,High Cost Route
South Africa,Africa,Textiles,Handloom Cotton Throw Pillow Set 2,45,16.252,0.3025,0.1625,3.3434,1.0081,0.4,0.2867,21.7552,15.787,97.14,1.3387,1.4,15.4,1.8,794.43,High Cost Route
South Africa,Africa,Kitchen,Bamboo Cutting Board Set of 3,45,16.3842,0.495,0.1638,3.4086,0.9961,0.4,0.0841,21.9319,15.7254,95.97,1.3385,2.3,15.6,1.8,296.11,High Cost Route
