date,currency_code,currency_pair,rate_to_inr,daily_change_pct,month,year,quarter
2022-01-01,USD,USD/INR,83.5,0.0,1,2022,Q1
2022-01-02,USD,USD/INR,83.5557,0.0667,1,2022,Q1
2022-01-03,USD,USD/INR,83.8763,0.3837,1,2022,Q1
2022-01-04,USD,USD/INR,83.6366,-0.2857,1,2022,Q1
2022-01-05,USD,USD/INR,83.4668,-0.2031,1,2022,Q1
2022-01-06,USD,USD/INR,83.2733,-0.2318,1,2022,Q1
2022-01-07,USD,USD/INR,83.4807,0.2491,1,2022,Q1
2022-01-08,USD,USD/INR,83.7062,0.2701,1,2022,Q1
2022-01-09,USD,USD/INR,83.8195,0.1354,1,2022,Q1
2022-01-10,USD,USD/INR,84.1171,0.355,1,2022,Q1
2022-01-11,USD,USD/INR,83.8198,-0.3534,1,2022,Q1
2022-01-12,USD,USD/INR,84.239,0.5002,1,2022,Q1
2022-01-13,USD,USD/INR,84.624,0.457,1,2022,Q1
2022-01-14,USD,USD/INR,84.8108,0.2207,1,2022,Q1
2022-01-15,USD,USD/INR,85.2641,0.5345,1,2022,Q1
2022-01-16,USD,USD/INR,84.8403,-0.497,1,2022,Q1
2022-01-17,USD,USD/INR,84.7069,-0.1573,1,2022,Q1
2022-01-18,USD,USD/INR,84.52,-0.2206,1,2022,Q1
2022-01-19,USD,USD/INR,84.7029,0.2164,1,2022,Q1
2022-01-20,USD,USD/INR,84.4361,-0.315,1,2022,Q1
2022-01-21,USD,USD/INR,84.628,0.2272,1,2022,Q1
2022-01-22,USD,USD/INR,84.9759,0.4112,1,2022,Q1
2022-01-23,USD,USD/INR,85.1532,0.2086,1,2022,Q1
2022-01-24,USD,USD/INR,85.2256,0.0851,1,2022,Q1
2022-01-25,USD,USD/INR,84.9731,-0.2964,1,2022,Q1
2022-01-26,USD,USD/INR,84.7572,-0.2541,1,2022,Q1
2022-01-27,USD,USD/INR,85.0749,0.3749,1,2022,Q1
2022-01-28,USD,USD/INR,85.2738,0.2338,1,2022,Q1
