order_id,order_date,product_id,market_id,customer_id,quantity_units,fob_price_usd_per_unit,discount_pct,net_fob_price_usd,total_fob_value_usd,exchange_rate_on_date,total_fob_value_inr,cogs_inr_per_unit,total_cogs_inr,gross_profit_inr,gross_margin_pct,payment_terms_days,payment_due_date,payment_received_date,payment_delay_days,payment_status,order_channel,order_status,incoterm,fiscal_year,quarter,month_num,month_name,week_num,is_repeat_order,days_since_last_order
1,06-02-2023,P019,M02,C0190,50,25,0,25,1250,22.7,28375,492.8,24640,3735,13.16,45,23-03-2023,16-04-2023,24,Overdue,Wayfair,Delivered,CIF,2023,Q1,2,February,6,N,128
2,17-06-2024,P033,M02,C0006,59,24,2,23.52,1387.68,22.7,31500.34,470.4,27753.6,3746.74,11.89,30,17-07-2024,03-08-2024,17,Overdue,Noon,Delivered,FOB,2024,Q2,6,June,25,N,48
3,06-11-2022,P032,M03,C0278,50,33,0,33,1650,105.2,173580,649.6,32480,141100,81.29,30,06-12-2022,08-12-2022,2,Paid Late,Direct B2B,Delivered,FOB,2022,Q4,11,November,44,Y,128
4,10-09-2024,P033,M08,C0295,50,24,12,21.12,1056,89.7,94723.2,470.4,23520,71203.2,75.17,90,09-12-2024,04-12-2024,-5,Paid On Time,Amazon,Delivered,FOB,2024,Q3,9,September,37,Y,104
5,28-02-2022,P023,M14,C0272,129,27,2,26.46,3413.34,0.56,1911.47,537.6,69350.4,-67438.93,0,15,15-03-2022,23-03-2022,8,Paid Late,Wayfair,Processing,FOB,2022,Q1,2,February,9,Y,132
6,10-11-2024,P006,M03,C0105,107,16,5,15.2,1626.4,105.2,171097.28,291.2,31158.4,139938.88,81.79,45,25-12-2024,08-01-2025,14,Paid Late,Wayfair,Delivered,FOB,2024,Q4,11,November,45,Y,90
7,24-09-2023,P038,M17,C0295,81,25,5,23.75,1923.75,271.5,522298.12,492.8,39916.8,482381.32,92,90,23-12-2023,01-01-2024,9,Paid Late,Amazon,Delivered,CIF,2023,Q3,9,September,38,Y,163
8,25-12-2023,P013,M08,C0256,93,20,2,19.6,1822.8,89.7,163505.16,403.2,37497.6,126007.56,77.07,60,23-02-2024,12-03-2024,18,Overdue,Trade Fair,Delivered,FOB,2023,Q4,12,December,52,Y,37
9,03-02-2023,P014,M07,C0088,50,24,0,24,1200,89.7,107640,470.4,23520,84120,78.15,15,18-02-2023,24-02-2023,6,Paid Late,Direct B2B,Delivered,CIF,2023,Q1,2,February,5,Y,162
10,15-05-2024,P035,M08,C0266,73,17,2,16.66,1216.18,89.7,109091.35,336,24528,84563.35,77.52,30,14-06-2024,27-06-2024,13,Paid Late,Direct B2B,Delivered,FOB,2024,Q2,5,May,20,Y,104
