return_id,order_id,product_id,market_id,customer_id,return_date,return_quantity,return_reason,return_type,refund_amount_usd,return_shipping_cost_usd,net_loss_usd,processing_status,days_to_return,is_first_return,return_month,return_year
1,358810,P026,M08,C0241,2022-04-04,12,Wrong Product Shipped,Exchange,651.84,61.08,712.92,Refund Processed,40,Y,4,2022
2,372115,P009,M12,C0001,2025-01-19,5,Damaged in Transit,Exchange,85.5,5.59,91.09,Refund Processed,51,N,1,2025
3,255065,P010,M10,C0152,2023-11-24,5,Customer Changed Mind,Partial Return,190.0,11.47,201.47,Pending Investigation,40,Y,11,2023
4,420489,P034,M01,C0239,2023-04-09,13,Wrong Product Shipped,Exchange,234.0,12.47,246.47,Refund Processed,15,Y,4,2023
5,190864,P010,M03,C0014,2023-10-18,3,Customer Changed Mind,Exchange,102.6,9.16,111.76,Refund Denied,7,N,10,2023
6,299062,P013,M15,C0113,2023-08-24,3,Packaging Damaged,Full Return,51.0,3.54,54.54,Refund Processed,24,N,8,2023
7,92747,P027,M08,C0049,2022-09-19,5,Packaging Damaged,Partial Return,162.75,15.35,178.1,Refund Denied,37,Y,9,2022
8,373946,P014,M16,C0195,2023-09-30,3,Quality Below Expectation,Partial Return,64.8,2.73,67.53,Under Review,43,Y,9,2023
9,130537,P008,M01,C0041,2022-04-27,5,Customer Changed Mind,Full Return,67.9,5.34,73.24,Refund Processed,36,N,4,2022
10,59232,P015,M08,C0286,2024-11-18,4,Customer Changed Mind,Full Return,68.0,5.86,73.86,Under Review,42,N,11,2024
11,265481,P037,M19,C0141,2022-03-10,8,Wrong Product Shipped,Full Return,96.0,6.85,102.85,Replacement Sent,17,Y,3,2022
12,84099,P012,M04,C0270,2022-01-25,4,Damaged in Transit,Full Return,83.6,4.63,88.23,Under Review,16,N,1,2022
13,128433,P011,M04,C0161,2023-09-15,9,Packaging Damaged,Partial Return,432.0,25.42,457.42,Replacement Sent,53,N,9,2023
14,325114,P005,M01,C0243,2024-03-20,9,Quality Below Expectation,Full Return,226.98,17.3,244.28,Under Review,21,N,3,2024
15,267857,P035,M05,C0062,2023-11-26,12,Damaged in Transit,Partial Return,204.0,17.54,221.54,Refund Processed,15,Y,11,2023
16,345676,P011,M07,C0098,2025-01-25,3,Wrong Product Shipped,Partial Return,139.68,12.56,152.24,Refund Processed,38,N,1,2025
17,449195,P032,M05,C0199,2024-12-09,5,Damaged in Transit,Full Return,148.5,9.17,157.67,Refund Processed,53,Y,12,2024
18,41210,P005,M02,C0290,2023-05-26,10,Damaged in Transit,Full Return,252.2,23.51,275.71,Refund Processed,32,N,5,2023
19,372171,P002,M01,C0179,2022-04-15,12,Quality Below Expectation,Partial Return,232.8,13.96,246.76,Refund Processed,30,Y,4,2022
20,59557,P009,M01,C0052,2022-12-29,7,Quality Below Expectation,Partial Return,133.0,12.35,145.35,Replacement Sent,22,N,12,2022
21,2542,P013,M02,C0206,2023-10-20,4,Damaged in Transit,Full Return,80.0,5.09,85.09,Refund Processed,45,Y,10,2023
22,352156,P031,M12,C0069,2022-09-25,7,Damaged in Transit,Exchange,147.0,12.85,159.85,Replacement Sent,19,Y,9,2022
23,273611,P039,M02,C0118,2025-01-29,28,Customer Changed Mind,Full Return,1249.36,83.06,1332.42,Refund Processed,36,Y,1,2025
24,12001,P010,M01,C0255,2024-06-10,13,Wrong Product Shipped,Full Return,469.3,38.89,508.19,Under Review,41,N,6,2024
25,48902,P016,M06,C0113,2024-08-26,5,Quality Below Expectation,Exchange,77.6,4.18,81.78,Replacement Sent,25,Y,8,2024
26,390368,P015,M03,C0152,2024-10-26,4,Quality Below Expectation,Partial Return,68.0,3.52,71.52,Refund Processed,34,Y,10,2024
27,21571,P005,M04,C0207,2023-04-22,13,Customer Changed Mind,Exchange,297.44,12.9,310.34,Under Review,40,N,4,2023
28,360188,P003,M03,C0159,2024-09-16,5,Wrong Product Shipped,Partial Return,112.7,10.92,123.62,Refund Processed,25,N,9,2024
29,358012,P037,M02,C0024,2023-06-11,10,Customer Changed Mind,Full Return,111.6,4.69,116.29,Refund Processed,44,Y,6,2023
30,474157,P011,M04,C0255,2022-11-25,6,Wrong Product Shipped,Full Return,267.84,16.53,284.37,Under Review,33,Y,11,2022
31,90819,P034,M15,C0224,2023-07-06,14,Damaged in Transit,Full Return,244.44,13.89,258.33,Refund Processed,22,N,7,2023
32,205974,P028,M04,C0198,2022-02-11,20,Wrong Product Shipped,Full Return,470.4,24.2,494.6,Refund Processed,19,Y,2,2022
33,355735,P026,M12,C0271,2022-06-01,4,Quality Below Expectation,Partial Return,208.32,20.66,228.98,Under Review,53,Y,6,2022
34,297945,P002,M16,C0001,2023-12-15,3,Damaged in Transit,Full Return,58.2,3.65,61.85,Refund Processed,48,Y,12,2023
35,386263,P023,M06,C0018,2023-03-28,6,Customer Changed Mind,Partial Return,145.8,7.24,153.04,Refund Processed,45,N,3,2023
36,366202,P037,M02,C0065,2024-04-16,5,Customer Changed Mind,Exchange,57.0,4.55,61.55,Refund Processed,17,Y,4,2024
37,272619,P028,M05,C0086,2023-01-23,6,Damaged in Transit,Full Return,144.0,10.75,154.75,Pending Investigation,27,Y,1,2023
38,51126,P017,M03,C0062,2023-12-26,6,Wrong Product Shipped,Full Return,89.28,4.68,93.96,Refund Denied,22,Y,12,2023
39,285688,P029,M09,C0177,2023-12-07,13,Damaged in Transit,Full Return,271.7,11.11,282.81,Refund Processed,24,N,12,2023
40,59677,P006,M13,C0166,2022-12-04,7,Damaged in Transit,Full Return,98.56,5.12,103.68,Under Review,24,Y,12,2022
41,164594,P012,M03,C0130,2022-09-10,6,Customer Changed Mind,Exchange,132.0,12.86,144.86,Refund Processed,21,Y,9,2022
42,494623,P003,M18,C0204,2022-08-22,7,Wrong Product Shipped,Exchange,156.17,12.63,168.8,Pending Investigation,28,N,8,2022
43,19827,P027,M01,C0262,2023-06-10,4,Quality Below Expectation,Exchange,135.8,6.99,142.79,Refund Processed,54,N,6,2023
44,158672,P031,M01,C0095,2024-08-06,8,Customer Changed Mind,Exchange,168.0,7.7,175.7,Replacement Sent,41,Y,8,2024
45,385812,P028,M02,C0097,2024-09-18,10,Customer Changed Mind,Full Return,228.0,9.92,237.92,Pending Investigation,13,N,9,2024
46,197115,P029,M08,C0102,2022-10-05,33,Damaged in Transit,Exchange,675.18,54.39,729.57,Refund Processed,37,Y,10,2022
47,118422,P012,M01,C0217,2024-04-11,21,Customs Rejected,Full Return,462.0,39.55,501.55,Pending Investigation,16,Y,4,2024
48,475485,P014,M16,C0085,2023-07-31,4,Damaged in Transit,Full Return,96.0,7.2,103.2,Refund Processed,25,Y,7,2023
